date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:43	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22286ac-553a0b7dadd00%22	http://www.osams.si/wp-content/themes/hueman/assets/front/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Robert/shitpost/berzo/wp-content/themes/hueman/assets/front/fonts/fontawesome-webfont3e6e.ttf	(from http://www.osams.si/wp-content/themes/hueman/assets/front/css/font-awesome.min.css?ver=3.3.13)
17:05:43	60632/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:37%20GMT	http://www.osams.si/2019/01/07/karaoke/	D:/Robert/shitpost/berzo/2019/01/07/karaoke/index.html	(from http://www.osams.si/)
17:05:44	19774/19774	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_135954-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_135954-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	200466/200466	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_135954.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_135954.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	145954/145954	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_140736.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_140736.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	15423/15423	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_140736-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_140736-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	167054/167054	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_141120.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_141120.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	17505/17505	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_141120-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_141120-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:44	171767/171767	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_141858.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_141858.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:45	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%226c7db-553a0b7dadd00-gzip%22	http://www.osams.si/wp-content/themes/hueman/assets/front/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Robert/shitpost/berzo/wp-content/themes/hueman/assets/front/fonts/fontawesome-webfont3e6e.svg	(from http://www.osams.si/wp-content/themes/hueman/assets/front/css/font-awesome.min.css?ver=3.3.13)
17:05:45	16799/16799	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/20181221_141858-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/20181221_141858-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:45	168696/168696	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/IMG_20181221_135729.jpg	D:/Robert/shitpost/berzo/files/2019/01/IMG_20181221_135729.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:45	68011/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:38%20GMT	http://www.osams.si/2019/01/03/a-story-telling-festival/	D:/Robert/shitpost/berzo/2019/01/03/a-story-telling-festival/index.html	(from http://www.osams.si/)
17:05:45	16756/16756	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/IMG_20181221_135729-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/IMG_20181221_135729-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:45	15910/15910	---M--	200	added ('OK')	image/jpeg	etag:%2229eb6c67e8c12a2f20b6d1b0e20f0739%22	http://www.osams.si/files/2018/03/20180326_135327-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/03/20180326_135327-520x245.jpg	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:46	171640/171640	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/IMG_20181221_140040.jpg	D:/Robert/shitpost/berzo/files/2019/01/IMG_20181221_140040.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:46	17281/17281	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/IMG_20181221_140040-300x225.jpg	D:/Robert/shitpost/berzo/files/2019/01/IMG_20181221_140040-300x225.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:46	54264/54264	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2015/06/nd2-520x245.jpg	D:/Robert/shitpost/berzo/files/2015/06/nd2-520x245.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:46	43118/43118	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/05/IMG_20180509_130126-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/05/IMG_20180509_130126-520x245.jpg	(from http://www.osams.si/2019/01/07/karaoke/)
17:05:46	49247/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2016:05:40%20GMT	http://www.osams.si/2019/01/	D:/Robert/shitpost/berzo/2019/01/index.html	(from http://www.osams.si/)
17:05:47	26633/26633	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/IMG_20181221_135729-520x245.jpg	D:/Robert/shitpost/berzo/files/2019/01/IMG_20181221_135729-520x245.jpg	(from http://www.osams.si/author/brankoposams-si/)
17:05:47	6737/-1	---M--	200	added ('OK')	application/rss+xml	etag:%2274c4b818fdf5a5721cf9b32c608706b0%22	http://www.osams.si/author/brankoposams-si/feed/	D:/Robert/shitpost/berzo/author/brankoposams-si/feed/index.html	(from http://www.osams.si/author/brankoposams-si/)
17:05:47	25250/25250	---M--	200	added ('OK')	image/gif	etag:%2262a2-54a1e34364740%22	http://www.osams.si/wp-content/plugins/event-organiser/css/images/loading-40x40.gif	D:/Robert/shitpost/berzo/wp-content/plugins/event-organiser/css/images/loading-40x40.gif	(from http://www.osams.si/wp-content/plugins/event-organiser/css/eventorganiser-front-end.min.css?ver=3.1.7)
17:05:48	857/-1	---M--	200	added ('OK')	application/rss+xml	etag:%22732a0a6f3b46f8df4aa4efb300a4e27a%22	http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/feed/	D:/Robert/shitpost/berzo/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/feed/index.html	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:48	14830/14830	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/pravljicero%c5%bea-300x217.jpg	D:/Robert/shitpost/berzo/files/2019/01/pravljicero%c5%bea-300x217.jpg	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:48	136764/136764	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/pravljicero%c5%bea.jpg	D:/Robert/shitpost/berzo/files/2019/01/pravljicero%c5%bea.jpg	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:48	20811/20811	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/12/IMG_20181122_095620-520x245.jpg	D:/Robert/shitpost/berzo/files/2018/12/IMG_20181122_095620-520x245.jpg	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:48	23391/23391	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2018/11/received_2007302466234851-520x245.jpeg	D:/Robert/shitpost/berzo/files/2018/11/received_2007302466234851-520x245.jpg	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:49	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2007%20Jan%202019%2016:05:41%20GMT	http://www.osams.si/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.osams.si%2F2019%2F01%2F07%2Fpripovedovalski-festival-stare-irske-zgodbe%2F&format=xml	D:/Robert/shitpost/berzo/wp-json/oembed/1.0/embed0e7c	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:49	47563/47563	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2016/05/DSC_0100_%c4%8d-520x245.jpg	D:/Robert/shitpost/berzo/files/2016/05/DSC_0100_%c4%8d-520x245.jpg	(from http://www.osams.si/2019/01/07/pripovedovalski-festival-stare-irske-zgodbe/)
17:05:49	799/-1	---M--	200	added ('OK')	application/rss+xml	etag:%227e0cd8a2b0371d7d5f3b599516c20d04%22	http://www.osams.si/2019/01/03/a-story-telling-festival/feed/	D:/Robert/shitpost/berzo/2019/01/03/a-story-telling-festival/feed/index.html	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:49	231882/231882	URF---	200	added ('OK%20(cached)')	image/jpeg		http://www.osams.si/files/2019/01/pravljice-ena-zvezda-1.jpg	D:/Robert/shitpost/berzo/files/2019/01/pravljice-ena-zvezda-1.jpg	(from http://www.osams.si/2019/01/03/a-story-telling-festival/)
17:05:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jan%202019%2016:05:43%20GMT	http://www.osams.si/?p=9329	D:/Robert/shitpost/berzo/index0ffa.html	(from http://www.osams.si/2019/01/07/karaoke/)
